"assessment_id","assessment_question_id","assessment_question_internal_id","assessment_question_cuepoint","assessment_question_order","assessment_question_weight"
"z4nUbw@2","Cp66Lw@2","ef6a279d","0","1",NA
"O3010Q@2","b3RmVw@3","24bf4a4c","0","4",NA
"z4nUbw@3","b3RmVw@3","NeBDpQ@0","0","0"," 1"
"O3010Q@2","b3RmVw@3","daf05453","0","5"," 1"
"O3010Q@3","b3RmVw@4","08225069","0","2"," 1"
"dW1YXw@1","b3RmVw@6","LEb3RmVw","0","4"," 1"
"xDAvSQ@3","b3RmVw@2","LEb3RmVw","0","3"," 1"
"O3010Q@8","1uEo4w@1","LEb3RmVw","0","2",NA
"O3010Q@7","b3RmVw@3","6466021a","0","3",NA
"dW1YXw@4","9BZbew@1","IG9oUw@0","0","2",NA
"z4nUbw@4","pAh9DQ@1","6466021a","0","4"," 1"
"O3010Q@5","dW1YXw@1","LEb3RmVw","0","4"," 1"
"yWmNPQ@6","b3RmVw@4","ef6a279d","0","5"," 1"
"O3010Q@3","b3RmVw@3","949ea069","0","3"," 1"
"O3010Q@2","b3RmVw@2","08225069","0","4",NA
"dW1YXw@1","9BZbew@1","6484dc21","0","0",NA
"yWmNPQ@6","b3RmVw@3","LEb3RmVw","0","4"," 1"
"yWmNPQ@4","b3RmVw@3","cd314271","0","3"," 1"
"dW1YXw@3","b3RmVw@2","08225069","0","0"," 1"
"O3010Q@5","b3RmVw@3","ef6a279d","0","5"," 1"
"O3010Q@7","b3RmVw@5","LEb3RmVw","0","0"," 1"
"xDAvSQ@5","QujkHw@1","08225069","0","3",NA
"O3010Q@6","b3RmVw@3","6484dc21","0","5"," 1"
"O3010Q@3","b3RmVw@2","LEb3RmVw","0","2"," 1"
"xDAvSQ@5","oQox3w@1","4b9fd926","0","4",NA
"yWmNPQ@1","b3RmVw@4","IG9oUw@0","0","3"," 1"
"xDAvSQ@4","b3RmVw@4","LEb3RmVw","0","2",NA
"O3010Q@3","uvVA8Q@1","LEb3RmVw","0","4",NA
"yWmNPQ@5","b3RmVw@3","IG9oUw@0","0","5"," 1"
"z4nUbw@5","b3RmVw@2","d26b9332","0","1"," 1"
"O3010Q@2","b3RmVw@2","24bf4a4c","0","3",NA
"yWmNPQ@3","b3RmVw@3","08225069","0","0"," 1"
"yWmNPQ@3","WttycQ@1","daf05453","0","0",NA
"dW1YXw@2","b3RmVw@2","LEb3RmVw","0","3"," 1"
"dW1YXw@2","b3RmVw@2","daf05453","0","4"," 1"
"O3010Q@2","seJe7Q@2","aa88b300","0","1",NA
"O3010Q@2","b3RmVw@3","6466021a","0","1"," 1"
"O3010Q@1","3PvHeQ@1","NeBDpQ@0","0","5"," 1"
"dW1YXw@2","b3RmVw@6","db800f56","0","2"," 1"
"O3010Q@5","oQox3w@1","LEb3RmVw","0","1"," 1"
"dW1YXw@1","b3RmVw@2","LEb3RmVw","0","3"," 1"
"O3010Q@4","b3RmVw@3","6466021a","0","2"," 1"
"z4nUbw@5","b3RmVw@3","067de101","0","3",NA
"O3010Q@8","b3RmVw@3","LEb3RmVw","0","1"," 1"
