"assessment_question_id","assessment_question_shuffle_options"
"b3RmVw@2","t"
"b3RmVw@5","t"
"b3RmVw@2","t"
"b3RmVw@2","t"
"b3RmVw@2","t"
"b3RmVw@6","t"
"b3RmVw@2","t"
"b3RmVw@2","t"
"b3RmVw@3","t"
"b3RmVw@5","t"
"b3RmVw@3","t"
"WttycQ@1","t"
"b3RmVw@2","t"
"b3RmVw@3","t"
"b3RmVw@3","t"
"oQox3w@1","t"
"b3RmVw@2","t"
"b3RmVw@4","t"
"b3RmVw@4","t"
"b3RmVw@3","t"
"b3RmVw@4","t"
"b3RmVw@6","t"
"b3RmVw@4","t"
"jtfmjw@1","t"
"b3RmVw@2","t"
"b3RmVw@6","t"
"b3RmVw@2","t"
"b3RmVw@5","f"
"b3RmVw@4","t"
"b3RmVw@3","t"
"dW1YXw@1","t"
"b3RmVw@2","t"
"b3RmVw@2","t"
"b3RmVw@4","t"
"b3RmVw@3","t"
"b3RmVw@7","t"
"b3RmVw@4","t"
"b3RmVw@6","f"
"b3RmVw@2","f"
"9BZbew@1","t"
"fGEHEQ@1","t"
"b3RmVw@4","t"
"QujkHw@1","t"
"1uEo4w@1","t"
"b3RmVw@3","t"
"b3RmVw@2","t"
"b3RmVw@2","t"
"b3RmVw@4","t"
"uvVA8Q@1","t"
"b3RmVw@3","t"
"b3RmVw@3","t"
"b3RmVw@2","t"
"b3RmVw@7","t"
"b3RmVw@6","t"
"b3RmVw@2","t"
"b3RmVw@3","t"
"b3RmVw@5","t"
"b3RmVw@5","t"
