"assessment_question_id","assessment_option_id","assessment_option_display","assessment_option_feedback","assessment_option_correct","assessment_option_index"
"b3RmVw@3","9a6d6d8d","{\""typeName\"":\""cml\","\""definition\"":{\""dtdId\"":\""assess/1\""","Some text","{\""typeName\"":\""cml\"
"b3RmVw@5","a9d4cd2e","{\""typeName\"":\""cml\","\""definition\"":{\""dtdId\"":\""assess/1\""","Some text","{\""typeName\"":\""cml\"
"Cp66Lw@2","f0b791e1","{\""typeName\"":\""cml\","\""definition\"":{\""dtdId\"":\""assess/1\""","Some text","{\""typeName\"":\""cml\"
"b3RmVw@3","db944bc4","{\""typeName\"":\""cml\","\""definition\"":{\""dtdId\"":\""assess/1\""","Some text","{\""typeName\"":\""cml\"
"1uEo4w@1","47669745","{\""typeName\"":\""cml\","\""definition\"":{\""dtdId\"":\""assess/1\""","Some text","{\""typeName\"":\""cml\"
"b3RmVw@4","28371336","{\""typeName\"":\""cml\","\""definition\"":{\""dtdId\"":\""assess/1\""","Some text","{\""typeName\"":\""cml\"
"b3RmVw@5","b0a174b2","{\""typeName\"":\""cml\","\""definition\"":{\""dtdId\"":\""assess/1\""","Some text","{\""typeName\"":\""cml\"
"b3RmVw@5","9a6d6d8d","{\""typeName\"":\""cml\","\""definition\"":{\""dtdId\"":\""assess/1\""","Some text","{\""typeName\"":\""cml\"
"b3RmVw@5","b003dd75","{\""typeName\"":\""cml\","\""definition\"":{\""dtdId\"":\""assess/1\""","Some text","{\""typeName\"":\""cml\"
"seJe7Q@2","f0b791e1","{\""typeName\"":\""cml\","\""definition\"":{\""dtdId\"":\""assess/1\""","Some text","{\""typeName\"":\""cml\"
"Cp66Lw@1","47669745","{\""typeName\"":\""cml\","\""definition\"":{\""dtdId\"":\""assess/1\""","Some text","{\""typeName\"":\""cml\"
"jtfmjw@1","a668f3da","{\""typeName\"":\""cml\","\""definition\"":{\""dtdId\"":\""assess/1\""","Some text","{\""typeName\"":\""cml\"
"b3RmVw@3","91638edc","{\""typeName\"":\""cml\","\""definition\"":{\""dtdId\"":\""assess/1\""","Some text","{\""typeName\"":\""cml\"
"b3RmVw@4","dd13625b","{\""typeName\"":\""cml\","\""definition\"":{\""dtdId\"":\""assess/1\""","Some text","{\""typeName\"":\""cml\"
"b3RmVw@3","23518194","{\""typeName\"":\""cml\","\""definition\"":{\""dtdId\"":\""assess/1\""","Some text","slider = x(0"
"b3RmVw@2","495dbdfd","{\""typeName\"":\""cml\","\""definition\"":{\""dtdId\"":\""assess/1\""","Some text","{\""typeName\"":\""cml\"
"b3RmVw@7","3068febf","{\""typeName\"":\""cml\","\""definition\"":{\""dtdId\"":\""assess/1\""","Some text","{\""typeName\"":\""cml\"
"b3RmVw@6","67a6d0b1","{\""typeName\"":\""cml\","\""definition\"":{\""dtdId\"":\""assess/1\""","Some text","{\""typeName\"":\""cml\"
"b3RmVw@4","88b467e4","{\""typeName\"":\""cml\","\""definition\"":{\""dtdId\"":\""assess/1\""","Some text","as in $$\\\\verb| #! summary(fit)|$$</text></co-content>\""}}"""
"b3RmVw@2","9dd0fb86","{\""typeName\"":\""cml\","\""definition\"":{\""dtdId\"":\""assess/1\""","Some text","stringsAsFactors = FALSE)</text><text>print(d)</text><text>CODE</text></co-content>\""}}"""
"b3RmVw@2","12ac5fe4","{\""typeName\"":\""cml\","\""definition\"":{\""dtdId\"":\""assess/1\""","Some text","{\""typeName\"":\""cml\"
"oQox3w@2","237a8b53","{\""typeName\"":\""cml\","\""definition\"":{\""dtdId\"":\""assess/1\""","Some text","{\""typeName\"":\""cml\"
"oQox3w@2","28540046","{\""typeName\"":\""cml\","\""definition\"":{\""dtdId\"":\""assess/1\""","Some text","{\""typeName\"":\""cml\"
"b3RmVw@3","b0a174b2","{\""typeName\"":\""cml\","\""definition\"":{\""dtdId\"":\""assess/1\""","Some text","{\""typeName\"":\""cml\"
"l61z7Q@2","27750456","{\""typeName\"":\""cml\","\""definition\"":{\""dtdId\"":\""assess/1\""","Some text","x.s = slider(0"
"b3RmVw@3","7aef3a42","{\""typeName\"":\""cml\","\""definition\"":{\""dtdId\"":\""assess/1\""","Some text","{\""typeName\"":\""cml\"
"pAh9DQ@1","33342ab8","{\""typeName\"":\""cml\","\""definition\"":{\""dtdId\"":\""assess/1\""","Some text","{\""typeName\"":\""cml\"
"WttycQ@1","b0a174b2","{\""typeName\"":\""cml\","\""definition\"":{\""dtdId\"":\""assess/1\""","Some text","{\""typeName\"":\""cml\"
"l61z7Q@1","88b467e4","{\""typeName\"":\""cml\","\""definition\"":{\""dtdId\"":\""assess/1\""","Some text","{\""typeName\"":\""cml\"
"b3RmVw@3","1317b956","{\""typeName\"":\""cml\","\""definition\"":{\""dtdId\"":\""assess/1\""","Some text","{\""typeName\"":\""cml\"
"b3RmVw@2","826ff094","{\""typeName\"":\""cml\","\""definition\"":{\""dtdId\"":\""assess/1\""","Some text","{\""typeName\"":\""cml\"
"Cp66Lw@2","50098192","{\""typeName\"":\""cml\","\""definition\"":{\""dtdId\"":\""assess/1\""","Some text","{\""typeName\"":\""cml\"
"b3RmVw@3","67a6d0b1","{\""typeName\"":\""cml\","\""definition\"":{\""dtdId\"":\""assess/1\""","Some text","{\""typeName\"":\""cml\"
"b3RmVw@4","0afced89","{\""typeName\"":\""cml\","\""definition\"":{\""dtdId\"":\""assess/1\""","Some text","{\""typeName\"":\""cml\"
"b3RmVw@2","19216268","{\""typeName\"":\""cml\","\""definition\"":{\""dtdId\"":\""assess/1\""","Some text","{\""typeName\"":\""cml\"
"b3RmVw@2","94aa8fc9","{\""typeName\"":\""cml\","\""definition\"":{\""dtdId\"":\""assess/1\""","Some text","{\""typeName\"":\""cml\"
"LdjFWw@1","0afced89","{\""typeName\"":\""cml\","\""definition\"":{\""dtdId\"":\""assess/1\""","Some text","{\""typeName\"":\""cml\"
"WttycQ@1","e3d7ed02","{\""typeName\"":\""cml\","\""definition\"":{\""dtdId\"":\""assess/1\""","Some text","{\""typeName\"":\""cml\"
"pAh9DQ@1","c1837078","{\""typeName\"":\""cml\","\""definition\"":{\""dtdId\"":\""assess/1\""","Some text","sPaginationType = \\\""full_numbers\\\"")</code></co-content>\""}}"""
"b3RmVw@5","588529ee","{\""typeName\"":\""cml\","\""definition\"":{\""dtdId\"":\""assess/1\""","Some text","{\""typeName\"":\""cml\"
"b3RmVw@2","02b2b2bc","{\""typeName\"":\""cml\","\""definition\"":{\""dtdId\"":\""assess/1\""","Some text","{\""typeName\"":\""cml\"
"b3RmVw@3","f0b791e1","{\""typeName\"":\""cml\","\""definition\"":{\""dtdId\"":\""assess/1\""","Some text","unlike a regular Shiny App which needs to be hosted online.</text></co-content>\""}}"""
"b3RmVw@6","772cea9b","{\""typeName\"":\""cml\","\""definition\"":{\""dtdId\"":\""assess/1\""","Some text","slider = x(0"
"b3RmVw@7","50730445","{\""typeName\"":\""cml\","\""definition\"":{\""dtdId\"":\""assess/1\""","Some text","{\""typeName\"":\""cml\"
"b3RmVw@2","982cc8dc","{\""typeName\"":\""cml\","\""definition\"":{\""dtdId\"":\""assess/1\""","Some text","{\""typeName\"":\""cml\"
"b3RmVw@2","a668f3da","{\""typeName\"":\""cml\","\""definition\"":{\""dtdId\"":\""assess/1\""","Some text","{\""typeName\"":\""cml\"
"b3RmVw@6","9a6d6d8d","{\""typeName\"":\""cml\","\""definition\"":{\""dtdId\"":\""assess/1\""","Some text","{\""typeName\"":\""cml\"
"b3RmVw@3","09038101","{\""typeName\"":\""cml\","\""definition\"":{\""dtdId\"":\""assess/1\""","Some text","{\""typeName\"":\""cml\"
"Cp66Lw@2","17347153","{\""typeName\"":\""cml\","\""definition\"":{\""dtdId\"":\""assess/1\""","Some text","{\""typeName\"":\""cml\"
"b3RmVw@3","c61d073d","{\""typeName\"":\""cml\","\""definition\"":{\""dtdId\"":\""assess/1\""","Some text","{\""typeName\"":\""cml\"
"seJe7Q@1","0afced89","{\""typeName\"":\""cml\","\""definition\"":{\""dtdId\"":\""assess/1\""","Some text","{\""typeName\"":\""cml\"
"seJe7Q@3","30200566","{\""typeName\"":\""cml\","\""definition\"":{\""dtdId\"":\""assess/1\""","Some text","{\""typeName\"":\""cml\"
"pAh9DQ@2","48fd373c","{\""typeName\"":\""cml\","\""definition\"":{\""dtdId\"":\""assess/1\""","Some text","{\""typeName\"":\""cml\"
"l61z7Q@1","71901fa7","{\""typeName\"":\""cml\","\""definition\"":{\""dtdId\"":\""assess/1\""","Some text","{\""typeName\"":\""cml\"
"LdjFWw@2","93858534","{\""typeName\"":\""cml\","\""definition\"":{\""dtdId\"":\""assess/1\""","Some text","x.s = slider(0"
"b3RmVw@2","c85e54c2","{\""typeName\"":\""cml\","\""definition\"":{\""dtdId\"":\""assess/1\""","Some text","{\""typeName\"":\""cml\"
"uvVA8Q@1","cb369675","{\""typeName\"":\""cml\","\""definition\"":{\""dtdId\"":\""assess/1\""","Some text","{\""typeName\"":\""cml\"
"b3RmVw@2","eeb16fea","{\""typeName\"":\""cml\","\""definition\"":{\""dtdId\"":\""assess/1\""","Some text","{\""typeName\"":\""cml\"
"b3RmVw@2","9dd0fb86","{\""typeName\"":\""cml\","\""definition\"":{\""dtdId\"":\""assess/1\""","Some text","{\""typeName\"":\""cml\"
"seJe7Q@3","9a6d6d8d","{\""typeName\"":\""cml\","\""definition\"":{\""dtdId\"":\""assess/1\""","Some text","{\""typeName\"":\""cml\"
"b3RmVw@4","ed243637","{\""typeName\"":\""cml\","\""definition\"":{\""dtdId\"":\""assess/1\""","Some text","s = slider(0"
"1uEo4w@1","f0b791e1","{\""typeName\"":\""cml\","\""definition\"":{\""dtdId\"":\""assess/1\""","Some text","{\""typeName\"":\""cml\"
"b3RmVw@5","23518194","{\""typeName\"":\""cml\","\""definition\"":{\""dtdId\"":\""assess/1\""","Some text","{\""typeName\"":\""cml\"
"b3RmVw@2","cb369675","{\""typeName\"":\""cml\","\""definition\"":{\""dtdId\"":\""assess/1\""","Some text","{\""typeName\"":\""cml\"
"l61z7Q@2","772cea9b","{\""typeName\"":\""cml\","\""definition\"":{\""dtdId\"":\""assess/1\""","Some text","{\""typeName\"":\""cml\"
"oQox3w@1","661abba1","{\""typeName\"":\""cml\","\""definition\"":{\""dtdId\"":\""assess/1\""","Some text","{\""typeName\"":\""cml\"
"b3RmVw@5","09038101","{\""typeName\"":\""cml\","\""definition\"":{\""dtdId\"":\""assess/1\""","Some text","{\""typeName\"":\""cml\"
"b3RmVw@4","50deac98","{\""typeName\"":\""cml\","\""definition\"":{\""dtdId\"":\""assess/1\""","Some text","{\""typeName\"":\""cml\"
"b3RmVw@4","01371788","{\""typeName\"":\""cml\","\""definition\"":{\""dtdId\"":\""assess/1\""","Some text","{\""typeName\"":\""cml\"
"oQox3w@2","83cfa0a8","{\""typeName\"":\""cml\","\""definition\"":{\""dtdId\"":\""assess/1\""","Some text","{\""typeName\"":\""cml\"
"LdjFWw@1","69c654f3","{\""typeName\"":\""cml\","\""definition\"":{\""dtdId\"":\""assess/1\""","Some text","{\""typeName\"":\""cml\"
"b3RmVw@6","ecc56f27","{\""typeName\"":\""cml\","\""definition\"":{\""dtdId\"":\""assess/1\""","Some text","{\""typeName\"":\""cml\"
"l61z7Q@2","72428677","{\""typeName\"":\""cml\","\""definition\"":{\""dtdId\"":\""assess/1\""","Some text","s = slider(0"
"b3RmVw@2","b0a174b2","{\""typeName\"":\""cml\","\""definition\"":{\""dtdId\"":\""assess/1\""","Some text","{\""typeName\"":\""cml\"
