"assessment_response_id","assessment_option_id","assessment_response_correct","assessment_response_feedback","assessment_response_selected"
"7ad1e3e8","eeb16fea","t","{\""typeName\"":\""cml\","\""definition\"":{\""dtdId\"":\""assess/1\"""
"415a6c66","06469921","t","{\""typeName\"":\""cml\","\""definition\"":{\""dtdId\"":\""assess/1\"""
"ac702f93","86d27a63","t","{\""typeName\"":\""cml\","\""definition\"":{\""dtdId\"":\""assess/1\"""
"5aa469cc","30200566","t","{\""typeName\"":\""cml\","\""definition\"":{\""dtdId\"":\""assess/1\"""
"6f8cc3fa","7aef3a42","t","{\""typeName\"":\""cml\","\""definition\"":{\""dtdId\"":\""assess/1\"""
"6aacb679","28540046","t","{\""typeName\"":\""cml\","\""definition\"":{\""dtdId\"":\""assess/1\"""
"39204256","cb369675","t","{\""typeName\"":\""cml\","\""definition\"":{\""dtdId\"":\""assess/1\"""
"eabbb871","33342ab8","t","{\""typeName\"":\""cml\","\""definition\"":{\""dtdId\"":\""assess/1\"""
"f1935bbc","e3d7ed02","t","{\""typeName\"":\""cml\","\""definition\"":{\""dtdId\"":\""assess/1\"""
"1fe1f457","28540046","t","{\""typeName\"":\""cml\","\""definition\"":{\""dtdId\"":\""assess/1\"""
"5ba79bf","94651084","f","{\""typeName\"":\""cml\","\""definition\"":{\""dtdId\"":\""assess/1\"""
"e5dfef","eeb16fea","t","{\""typeName\"":\""cml\","\""definition\"":{\""dtdId\"":\""assess/1\"""
"e9dd685d","eeb16fea","t","{\""typeName\"":\""cml\","\""definition\"":{\""dtdId\"":\""assess/1\"""
"984ef0f0","47669745","t","{\""typeName\"":\""cml\","\""definition\"":{\""dtdId\"":\""assess/1\"""
"6e2d6c36","71901fa7","f","{\""typeName\"":\""cml\","\""definition\"":{\""dtdId\"":\""assess/1\"""
"aafc83be","a9d4cd2e","t","{\""typeName\"":\""cml\","\""definition\"":{\""dtdId\"":\""assess/1\"""
"8f77cdcb","33342ab8","t","{\""typeName\"":\""cml\","\""definition\"":{\""dtdId\"":\""assess/1\"""
"8080914f","20877089","t","{\""typeName\"":\""cml\","\""definition\"":{\""dtdId\"":\""assess/1\"""
"4f26fb8b","98615468","t","{\""typeName\"":\""cml\","\""definition\"":{\""dtdId\"":\""assess/1\"""
"eb82b829","72428677","f","{\""typeName\"":\""cml\","\""definition\"":{\""dtdId\"":\""assess/1\"""
"227742e9","441b4b54","t","{\""typeName\"":\""cml\","\""definition\"":{\""dtdId\"":\""assess/1\"""
"cd0d38be","37898f5b","t","{\""typeName\"":\""cml\","\""definition\"":{\""dtdId\"":\""assess/1\"""
"414b2a18","33778795","t","{\""typeName\"":\""cml\","\""definition\"":{\""dtdId\"":\""assess/1\"""
"5d1db170","98384604","f","{\""typeName\"":\""cml\","\""definition\"":{\""dtdId\"":\""assess/1\"""
"3273e053","94651084","t","{\""typeName\"":\""cml\","\""definition\"":{\""dtdId\"":\""assess/1\"""
"1fa54c56","cab1e091","t","{\""typeName\"":\""cml\","\""definition\"":{\""dtdId\"":\""assess/1\"""
"7a315fd2","540d759f","t","{\""typeName\"":\""cml\","\""definition\"":{\""dtdId\"":\""assess/1\"""
"b6b0a033","ed243637","t","{\""typeName\"":\""cml\","\""definition\"":{\""dtdId\"":\""assess/1\"""
"6d5ff853","99682531","f","{\""typeName\"":\""cml\","\""definition\"":{\""dtdId\"":\""assess/1\"""
"6e4e3339","7aef3a42","t","{\""typeName\"":\""cml\","\""definition\"":{\""dtdId\"":\""assess/1\"""
"1ea82dba","9dd0fb86","t","{\""typeName\"":\""cml\","\""definition\"":{\""dtdId\"":\""assess/1\"""
"b24d0ee8","47669745","t","{\""typeName\"":\""cml\","\""definition\"":{\""dtdId\"":\""assess/1\"""
"31061f55","540d759f","t","{\""typeName\"":\""cml\","\""definition\"":{\""dtdId\"":\""assess/1\"""
"5417259","28371336","t","{\""typeName\"":\""cml\","\""definition\"":{\""dtdId\"":\""assess/1\"""
"14247ec7","9dd0fb86","t","{\""typeName\"":\""cml\","\""definition\"":{\""dtdId\"":\""assess/1\"""
"9519fb6c","0afced89","f","{\""typeName\"":\""cml\","\""definition\"":{\""dtdId\"":\""assess/1\"""
"6cd788f3","cb369675","t","{\""typeName\"":\""cml\","\""definition\"":{\""dtdId\"":\""assess/1\"""
"95a4c49d","5c27f609","t","{\""typeName\"":\""cml\","\""definition\"":{\""dtdId\"":\""assess/1\"""
"af7f1a44","826ff094","t","{\""typeName\"":\""cml\","\""definition\"":{\""dtdId\"":\""assess/1\"""
"a03d68f2","94aa8fc9","t","{\""typeName\"":\""cml\","\""definition\"":{\""dtdId\"":\""assess/1\"""
"8f3c1f43","31628602","t","{\""typeName\"":\""cml\","\""definition\"":{\""dtdId\"":\""assess/1\"""
"34dcbd6e","71547356","t","{\""typeName\"":\""cml\","\""definition\"":{\""dtdId\"":\""assess/1\"""
"338c3396","97977543","t","{\""typeName\"":\""cml\","\""definition\"":{\""dtdId\"":\""assess/1\"""
"755574ec","ed243637","t","{\""typeName\"":\""cml\","\""definition\"":{\""dtdId\"":\""assess/1\"""
"8f514d3","94aa8fc9","t","{\""typeName\"":\""cml\","\""definition\"":{\""dtdId\"":\""assess/1\"""
"d462b086","237a8b53","t","{\""typeName\"":\""cml\","\""definition\"":{\""dtdId\"":\""assess/1\"""
"e2babf59","ed243637","t","{\""typeName\"":\""cml\","\""definition\"":{\""dtdId\"":\""assess/1\"""
"b9792569","47085684","t","{\""typeName\"":\""cml\","\""definition\"":{\""dtdId\"":\""assess/1\"""
"a9a3f6c4","441b4b54","t","{\""typeName\"":\""cml\","\""definition\"":{\""dtdId\"":\""assess/1\"""
"c75f2138","94aa8fc9","t","{\""typeName\"":\""cml\","\""definition\"":{\""dtdId\"":\""assess/1\"""
"c49db0a0","28540046","t","{\""typeName\"":\""cml\","\""definition\"":{\""dtdId\"":\""assess/1\"""
"9f10e344","cb369675","t","{\""typeName\"":\""cml\","\""definition\"":{\""dtdId\"":\""assess/1\"""
"2a21960b","94651084","t","{\""typeName\"":\""cml\","\""definition\"":{\""dtdId\"":\""assess/1\"""
"d9ff0997","9dd0fb86","t","{\""typeName\"":\""cml\","\""definition\"":{\""dtdId\"":\""assess/1\"""
"1b8973a3","db944bc4","t","{\""typeName\"":\""cml\","\""definition\"":{\""dtdId\"":\""assess/1\"""
"37bf14d6","23518194","t","{\""typeName\"":\""cml\","\""definition\"":{\""dtdId\"":\""assess/1\"""
"70e5d8d","27750456","t","{\""typeName\"":\""cml\","\""definition\"":{\""dtdId\"":\""assess/1\"""
"220b8d7b","37898f5b","t","{\""typeName\"":\""cml\","\""definition\"":{\""dtdId\"":\""assess/1\"""
"acfe6976","19216268","f","{\""typeName\"":\""cml\","\""definition\"":{\""dtdId\"":\""assess/1\"""
"71e9f0ca","09038101","t","{\""typeName\"":\""cml\","\""definition\"":{\""dtdId\"":\""assess/1\"""
"9e994a7a","76452333","t","{\""typeName\"":\""cml\","\""definition\"":{\""dtdId\"":\""assess/1\"""
"d99cf6fc","540d759f","t","{\""typeName\"":\""cml\","\""definition\"":{\""dtdId\"":\""assess/1\"""
"47170847","34339567","t","{\""typeName\"":\""cml\","\""definition\"":{\""dtdId\"":\""assess/1\"""
"1bdb2f96","19216268","t","{\""typeName\"":\""cml\","\""definition\"":{\""dtdId\"":\""assess/1\"""
"8de6dc78","31628602","t","{\""typeName\"":\""cml\","\""definition\"":{\""dtdId\"":\""assess/1\"""
"f9840f3f","a668f3da","t","{\""typeName\"":\""cml\","\""definition\"":{\""dtdId\"":\""assess/1\"""
"579c8bc6","98615468","t","{\""typeName\"":\""cml\","\""definition\"":{\""dtdId\"":\""assess/1\"""
"72a09c5c","e3d7ed02","t","{\""typeName\"":\""cml\","\""definition\"":{\""dtdId\"":\""assess/1\"""
"750b230d","0afced89","f","{\""typeName\"":\""cml\","\""definition\"":{\""dtdId\"":\""assess/1\"""
"bc5cc016","cb369675","t","{\""typeName\"":\""cml\","\""definition\"":{\""dtdId\"":\""assess/1\"""
"17ec3472","b003dd75","t","{\""typeName\"":\""cml\","\""definition\"":{\""dtdId\"":\""assess/1\"""
"1922c5c1","540d759f","t","{\""typeName\"":\""cml\","\""definition\"":{\""dtdId\"":\""assess/1\"""
"9574cf2c","76452333","t","{\""typeName\"":\""cml\","\""definition\"":{\""dtdId\"":\""assess/1\"""
"8cd9499b","cb369675","t","{\""typeName\"":\""cml\","\""definition\"":{\""dtdId\"":\""assess/1\"""
"e6127d4","99682531","t","{\""typeName\"":\""cml\","\""definition\"":{\""dtdId\"":\""assess/1\"""
"60b64824","33342ab8","t","{\""typeName\"":\""cml\","\""definition\"":{\""dtdId\"":\""assess/1\"""
"5dae8d98","53170582","t","{\""typeName\"":\""cml\","\""definition\"":{\""dtdId\"":\""assess/1\"""
