"assessment_response_id","assessment_id","assessment_action_id","assessment_action_version","assessment_question_id","assessment_response_score","assessment_response_weighted_score"
"24cd777","z4nUbw@6","bc104b8b"," 2","3PvHeQ@2","1.0000000","1.0000000"
"b2242c52","O3010Q@6","306c39b7"," 2","b3RmVw@2","1.0000000","1.0000000"
"e50025c7","dW1YXw@4","d8f51689"," 2","b3RmVw@2","1.0000000",NA
"75f1b1ed","O3010Q@8","85b230ed","14","b3RmVw@2","0.0000000",NA
"192a2c95","dW1YXw@4","5679e7"," 2","b3RmVw@3","1.0000000","1.0000000"
"955bc677","O3010Q@5","95062eea"," 9","WttycQ@1","1.0000000","1.0000000"
"5388a0a1","yWmNPQ@3","aaeac1b1"," 2","WttycQ@1","1.0000000","1.0000000"
"175e6981","yWmNPQ@3","d0e3a16c"," 9","b3RmVw@2","0.6000000",NA
"35cc3a4e","O3010Q@4","537a092"," 2","b3RmVw@2","0.0000000",NA
"d155b29c","O3010Q@4","8ee3ce17"," 2","b3RmVw@3","1.0000000","1.0000000"
"e78b87fb","xDAvSQ@5","b9f86a8c"," 2","b3RmVw@2","1.0000000","1.0000000"
"a98d45d3","dW1YXw@4","106ea96","11","seJe7Q@3","1.0000000","1.0000000"
"d904ae1f","O3010Q@5","1b680d87"," 2","b3RmVw@2","1.0000000","0.7500000"
"f66ed7f6","O3010Q@7","be80c368"," 7","b3RmVw@3","0.7500000","1.0000000"
"183e4609","z4nUbw@6","6cd3725f"," 2","pAh9DQ@2","1.0000000",NA
"fe3082bb","O3010Q@5","c7f8ddce"," 2","b3RmVw@3","1.0000000",NA
"3708d7d5","z4nUbw@6","930d7a33"," 2","l61z7Q@2","1.0000000","0.0000000"
"9a88c554","O3010Q@5","2c6d4b7d"," 2","b3RmVw@2","1.0000000","1.0000000"
"5c5363de","yWmNPQ@6","b85e7484"," 7","LdjFWw@2","1.0000000","1.0000000"
"8c2151f9","O3010Q@8","b5cb2f78"," 2","b3RmVw@3","0.0000000",NA
"3335c7cf","dW1YXw@4","8ad4a895"," 2","b3RmVw@2","1.0000000",NA
"3b5d0b5a","O3010Q@7","6eae8993"," 2","b3RmVw@6","1.0000000","1.0000000"
"6b202c89","xDAvSQ@5","cf58cff1"," 2","WttycQ@1","1.0000000","1.0000000"
"4c016c78","O3010Q@5","b03a218a"," 2","fGEHEQ@1","1.0000000","1.0000000"
"80f291db","dW1YXw@4","1b42c18f","23","b3RmVw@3","0.6000000",NA
"84d43bff","yWmNPQ@3","eb47dbc1","16","b3RmVw@3","1.0000000","1.0000000"
"1815cc46","O3010Q@5","d4c0ea82"," 2","b3RmVw@2","1.0000000","1.0000000"
"c0a071d3","dW1YXw@4","33fb3ea4"," 2","fGEHEQ@1","1.0000000","1.0000000"
"893ddcb","z4nUbw@6","366c02e6","11","9BZbew@1","1.0000000","1.0000000"
"1203678e","O3010Q@7","32d15f4f"," 2","b3RmVw@4","1.0000000","1.0000000"
"b8abe954","xDAvSQ@5","c07090e"," 2","fGEHEQ@1","1.0000000","1.0000000"
"910ac494","z4nUbw@6","3acb1973"," 2","b3RmVw@3","1.0000000","1.0000000"
"5604b93d","yWmNPQ@3","d3509c1"," 2","b3RmVw@3","1.0000000","1.0000000"
"392fb2c3","O3010Q@4","3f005b40"," 2","fGEHEQ@1","1.0000000",NA
"1f6a6114","O3010Q@5","cb708b06"," 2","fGEHEQ@1","1.0000000","1.0000000"
"ca05877f","O3010Q@5","eab2214e"," 2","b3RmVw@3","1.0000000",NA
"6351a725","O3010Q@8","aa6bcd9d"," 2","jtfmjw@1","0.0000000","1.0000000"
"1b9da2b5","z4nUbw@6","4b84f36c"," 2","b3RmVw@6","1.0000000",NA
"d0174cd4","yWmNPQ@3","10bc825f"," 2","b3RmVw@2","0.5000000","1.0000000"
"baed827b","xDAvSQ@5","c266eeed"," 2","oQox3w@2","1.0000000","1.0000000"
"73bcf31c","O3010Q@5","c12f9a02","12","QujkHw@1","0.8333333","1.0000000"
"846bd6d3","z4nUbw@6","3b7b456f"," 2","b3RmVw@2","1.0000000",NA
"f7818d","O3010Q@5","f02e761c"," 2","b3RmVw@2","1.0000000",NA
"bb4bcd5d","O3010Q@5","a27f2c08"," 2","1uEo4w@1","1.0000000","1.0000000"
"e0c5bcad","z4nUbw@6","ef444455"," 2","3PvHeQ@2","1.0000000",NA
"ffae361f","dW1YXw@4","2dd9f5f6","13","b3RmVw@2","1.0000000",NA
"2cc2d25a","yWmNPQ@3","d8b0b4a2"," 2","WttycQ@1","0.6000000","0.4000000"
"1205c6ac","xDAvSQ@5","6d918fc2"," 2","b3RmVw@3","1.0000000",NA
"23a00d02","O3010Q@7","6d330c7c"," 7","oQox3w@1","1.0000000",NA
"21171973","xDAvSQ@5","ff9676ea"," 2","uvVA8Q@1","1.0000000","1.0000000"
"91503643","O3010Q@4","a7c5382e"," 2","jtfmjw@1","1.0000000","1.0000000"
"f40717cf","O3010Q@5","d28d221c"," 2","b3RmVw@2","1.0000000",NA
"144eefbd","z4nUbw@6","c602b784"," 2","b3RmVw@3","1.0000000","0.6000000"
"5494a1df","dW1YXw@4","641bdf4e"," 8","jtfmjw@1","1.0000000","1.0000000"
"5803eb91","z4nUbw@6","1417e9e8"," 2","fGEHEQ@1","0.5000000","1.0000000"
"3d9435b4","O3010Q@4","a992915"," 2","b3RmVw@2","1.0000000","1.0000000"
"84ffb41","xDAvSQ@5","4eebabdc"," 2","b3RmVw@2","1.0000000",NA
"56f43a01","O3010Q@5","dae7af6e"," 2","b3RmVw@3","1.0000000","1.0000000"
"a7a88735","O3010Q@5","79e0287d"," 2","jtfmjw@1","1.0000000","0.0000000"
"46dbade9","O3010Q@5","6b1590f5"," 2","b3RmVw@3","0.0000000","0.6000000"
"ae51c039","O3010Q@5","c53735be"," 2","b3RmVw@4","1.0000000","0.6000000"
"c049cad4","yWmNPQ@3","a0b3b647","14","b3RmVw@3","1.0000000","1.0000000"
"574f78e3","dW1YXw@4","877a67a1"," 2","LdjFWw@2","1.0000000",NA
"3d7ec943","z4nUbw@6","a5d8320b"," 6","b3RmVw@3","1.0000000","0.0000000"
"be35f7af","O3010Q@4","459b1194"," 2","b3RmVw@2","1.0000000","1.0000000"
"b6328124","O3010Q@5","c828c3a1"," 2","LdjFWw@2","1.0000000","1.0000000"
"55ab1a75","xDAvSQ@5","b44be17e"," 2","oQox3w@1","1.0000000","0.0000000"
"cd181019","z4nUbw@6","5d9b2096"," 9","9BZbew@1","0.8000000",NA
"f613738c","O3010Q@5","f9796bc1"," 2","fGEHEQ@1","0.3333333",NA
"cd774053","dW1YXw@4","5ddb7c21"," 2","3PvHeQ@2","1.0000000","1.0000000"
"12425e3c","O3010Q@4","3e0fc48a"," 2","b3RmVw@2","1.0000000",NA
"3866e54d","z4nUbw@6","72043c56"," 2","b3RmVw@3","1.0000000","1.0000000"
"73f0a36f","O3010Q@5","a0851f2c"," 2","b3RmVw@6","1.0000000",NA
"30522ad6","yWmNPQ@6","ed18398f"," 2","b3RmVw@3","1.0000000","1.0000000"
"2515fe32","O3010Q@5","fdcd8ea6"," 2","b3RmVw@3","1.0000000","1.0000000"
"7ce5d820","O3010Q@4","81ed14bc","15","9BZbew@1","1.0000000","1.0000000"
"bd198ed9","O3010Q@7","8bf3b0e6"," 2","pAh9DQ@2","1.0000000","1.0000000"
"e645d837","xDAvSQ@5","d6f7043e","14","b3RmVw@4","1.0000000","1.0000000"
"1cbfd325","O3010Q@8","8c8fdfd7","14","QujkHw@1","1.0000000","1.0000000"
"47304b5","z4nUbw@6","7c5d985a","12","b3RmVw@2","1.0000000",NA
"adb2bcd6","O3010Q@8","13cdbc98"," 2","oQox3w@1","1.0000000","1.0000000"
"959dcd63","dW1YXw@4","21cdb95e","12","b3RmVw@2","0.0000000",NA
"55b3a1b2","O3010Q@5","f851f603"," 2","b3RmVw@3","1.0000000","0.5000000"
