"course_branch_id","jhu_user_id","course_branch_grade_ts","course_passing_state_id","course_branch_grade_overall_passed_items","course_branch_grade_overall","course_branch_grade_verified_passed_items","course_branch_grade_verified"
"qsmzmVew","6c81de83","2016-03-01 13:21:42","0","4","0.9714290","6","0.9571430"
"qsmzmVew","eee2112a","2016-04-06 01:52:01","2","4","0.8857140","4","0.2900000"
"5e4i8Kvw","19569a1a","2016-01-27 12:05:11","2","6","1.0000000","4","0.9475000"
"5e4i8Kvw","78621fbe","2017-02-20 18:13:12","2","6","0.9937500","4","0.7265000"
"qsmzmVew","c43eab51","2017-09-12 02:13:32","2","4","1.0000000","6","1.0000000"
"qsmzmVew","4bfea6e1","2016-03-01 21:22:05","2","4","1.0000000","4","0.9677500"
"5e4i8Kvw","c5ed5319","2016-04-13 06:20:28","0","6","0.9780000","4","0.6987500"
"qsmzmVew","32251ebc","2017-02-14 13:11:07","2","4","0.9666670","4","0.9475000"
"qsmzmVew","7fef1621","2016-03-10 05:20:36","2","4","0.5666670","4","1.0000000"
"5e4i8Kvw","1e2d325e","2016-03-18 13:07:50","2","6","0.9266670","6","1.0000000"
"qsmzmVew","190b8f9e","2017-04-27 22:18:22","2","5","0.9950000","0","0.7242500"
"5e4i8Kvw","a459ced2","2017-07-31 19:22:14","2","4","0.1500000","4","1.0000000"
"5e4i8Kvw","5da3727f","2016-07-10 08:44:02","0","4","0.6000000","6","0.1500000"
"qsmzmVew","795307c","2016-02-01 16:49:42","2","4","0.6912500","6","0.9821430"
"5e4i8Kvw","e267073e","2016-01-21 09:33:21","2","4","0.9251429","5","0.2000000"
"5e4i8Kvw","9c586de9","2017-07-07 10:53:42","2","4","0.7440000","4","0.9714290"
"5e4i8Kvw","aa769140","2016-09-11 18:16:33","0","6","0.6000000","4","1.0000000"
"qsmzmVew","f9790559","2016-03-30 09:49:24","0","4","0.9937500","3","0.9428570"
"qsmzmVew","c9be849b","2016-05-26 05:24:14","2","4","1.0000000","4","1.0000000"
"qsmzmVew","b851d722","2017-08-08 14:25:42","2","6","1.0000000","4","1.0000000"
"qsmzmVew","b256cdcf","2016-05-10 19:49:50","2","4","0.9538930","4","0.9857140"
"qsmzmVew","c72856b7","2016-04-29 10:08:41","0","1","0.9600000","4","1.0000000"
"5e4i8Kvw","a53afe62","2016-11-11 07:54:06","2","6","0.7215000","4","0.9857140"
"qsmzmVew","20c0eb91","2016-04-14 03:50:39","2","6","0.9857140","4","1.0000000"
"5e4i8Kvw","e31d3e86","2017-02-03 16:17:52","2","6","1.0000000","4","0.9508929"
"qsmzmVew","7d5cd3a3","2016-03-02 02:20:17","0","4","0.9857140","4","0.5166670"
"5e4i8Kvw","e62d6915","2016-02-03 17:01:40","0","5","1.0000000","4","0.7400000"
"qsmzmVew","12556c4c","2016-12-08 19:15:06","2","6","0.5675000","4","0.9090357"
"qsmzmVew","ea1d2ab6","2017-07-15 17:16:37","0","6","0.3000000","4","0.9251429"
"5e4i8Kvw","df1d180f","2016-06-24 04:14:04","2","4","0.9877500","4","0.7425000"
"qsmzmVew","b56ab582","2016-03-02 21:20:28","0","4","0.9714290","4","0.5000000"
