"course_branch_id","course_item_id","assessment_id"
"qsmzmVew","JXhHH","O3010Q@6"
"qsmzmVew","cFNt2","O3010Q@8"
"qsmzmVew","JoASJ","dW1YXw@4"
"5e4i8Kvw","KkPUa","yWmNPQ@3"
"qsmzmVew","p3P6e","z4nUbw@1"
"qsmzmVew","JoASJ","b3RmVw@1"
"5e4i8Kvw","JoASJ","O3010Q@1"
"qsmzmVew","a0uT1","O3010Q@3"
"qsmzmVew","UIopl","b3RmVw@1"
"5e4i8Kvw","rdtk3","b3RmVw@1"
"5e4i8Kvw","cFNt2","O3010Q@2"
"qsmzmVew","YPpVk","b3RmVw@1"
"qsmzmVew","ALI5N","b3RmVw@1"
"qsmzmVew","JoASJ","dW1YXw@1"
"qsmzmVew","qjQkJ","z4nUbw@6"
"5e4i8Kvw","JXhHH","b3RmVw@1"
"qsmzmVew","9xFVF","O3010Q@4"
"qsmzmVew","cFNt2","yWmNPQ@2"
"qsmzmVew","JXhHH","RZQpNw@1"
"qsmzmVew","rx7KZ","O3010Q@4"
"qsmzmVew","p3P6e","TSxd4Q@1"
"5e4i8Kvw","JXhHH","dW1YXw@2"
"qsmzmVew","JXhHH","yWmNPQ@1"
"qsmzmVew","OLoRa","z4nUbw@4"
"5e4i8Kvw","p3P6e","b3RmVw@1"
"5e4i8Kvw","RC7u7","O3010Q@2"
"qsmzmVew","a0uT1","b3RmVw@1"
"qsmzmVew","p3P6e","yWmNPQ@4"
"qsmzmVew","3p0Fo","yWmNPQ@5"
"qsmzmVew","JoASJ","b3RmVw@1"
"5e4i8Kvw","vbl7n","TSxd4Q@1"
"qsmzmVew","t8FX1","dW1YXw@3"
"5e4i8Kvw","JoASJ","O3010Q@1"
"qsmzmVew","kkNDW","b3RmVw@1"
"qsmzmVew","ORADd","b3RmVw@1"
"qsmzmVew","a0uT1","O3010Q@6"
"qsmzmVew","JoASJ","xDAvSQ@3"
"5e4i8Kvw","JoASJ","b3RmVw@1"
"5e4i8Kvw","t8FX1","b3RmVw@1"
"5e4i8Kvw","JoASJ","b3RmVw@1"
"qsmzmVew","cFNt2","b3RmVw@1"
"qsmzmVew","a0uT1","xDAvSQ@4"
"qsmzmVew","a0uT1","b3RmVw@1"
"5e4i8Kvw","p3P6e","z4nUbw@5"
"qsmzmVew","M95G9","b3RmVw@1"
"qsmzmVew","JXhHH","yWmNPQ@6"
"qsmzmVew","JXhHH","xDAvSQ@5"
"qsmzmVew","JoASJ","O3010Q@7"
"qsmzmVew","3p0Fo","b3RmVw@1"
"qsmzmVew","DkxRA","O3010Q@5"
"qsmzmVew","JoASJ","b3RmVw@1"
"5e4i8Kvw","budcM","b3RmVw@1"
"qsmzmVew","PyR0r","b3RmVw@1"
"qsmzmVew","46f2v","O3010Q@7"
"5e4i8Kvw","DpblG","z4nUbw@3"
"qsmzmVew","H8Bcz","xDAvSQ@1"
"5e4i8Kvw","cFNt2","b3RmVw@1"
"qsmzmVew","p3P6e","z4nUbw@2"
"qsmzmVew","ALI5N","O3010Q@3"
"qsmzmVew","JoASJ","xDAvSQ@2"
"5e4i8Kvw","a0uT1","O3010Q@5"
