"jhu_user_id","course_id","course_membership_role","course_membership_ts"
"e2d25361","LEemVewWMPAqsm3Vo3Am1z","LEARNER","2017-06-07 18:42:42"
"31c9e94","LEemVewWMPAqsm3Vo3Am1z","LEARNER","2016-11-01 10:48:03"
"6cc52aeb","LEemVewWMPAqsm3Vo3Am1z","LEARNER","2017-04-03 10:06:45"
"af25b22c","LEemVewWMPAqsm3Vo3Am1z","LEARNER","2016-08-09 17:57:50"
"b234e8ac","LEemVewWMPAqsm3Vo3Am1z","NOT_ENROLLED","2017-06-13 18:05:29"
"b1f020d","LEemVewWMPAqsm3Vo3Am1z","LEARNER","2016-10-20 08:57:14"
"1f77e191","LEemVewWMPAqsm3Vo3Am1z","LEARNER","2016-01-10 17:27:28"
"6b86d283","LEemVewWMPAqsm3Vo3Am1z","LEARNER","2017-05-22 06:30:54"
"f02a4dc8","LEemVewWMPAqsm3Vo3Am1z","PRE_ENROLLED_LEARNER","2016-03-02 00:16:07"
"bd8d3b25","LEemVewWMPAqsm3Vo3Am1z","LEARNER","2016-09-03 11:24:46"
"ce8b74f","LEemVewWMPAqsm3Vo3Am1z","LEARNER","2017-04-22 15:15:04"
"3fa7f983","LEemVewWMPAqsm3Vo3Am1z","LEARNER","2016-05-26 10:29:15"
"db19b36a","LEemVewWMPAqsm3Vo3Am1z","LEARNER","2016-02-14 20:20:37"
"e7a14fad","LEemVewWMPAqsm3Vo3Am1z","LEARNER","2016-01-21 11:32:32"
"572b7bbf","LEemVewWMPAqsm3Vo3Am1z","LEARNER","2016-04-19 15:01:41"
"82b0b056","LEemVewWMPAqsm3Vo3Am1z","BROWSER","2017-05-27 06:45:57"
"a05a4089","LEemVewWMPAqsm3Vo3Am1z","LEARNER","2016-05-15 22:48:07"
"911b3c62","LEemVewWMPAqsm3Vo3Am1z","LEARNER","2017-06-12 14:19:23"
"dd79675a","LEemVewWMPAqsm3Vo3Am1z","BROWSER","2016-04-12 21:52:07"
"e2f4ad61","LEemVewWMPAqsm3Vo3Am1z","LEARNER","2016-07-23 03:04:16"
"f0aded94","LEemVewWMPAqsm3Vo3Am1z","LEARNER","2016-06-21 00:25:06"
"4e1ed28f","LEemVewWMPAqsm3Vo3Am1z","LEARNER","2017-01-06 23:25:38"
"f15fe963","LEemVewWMPAqsm3Vo3Am1z","LEARNER","2017-05-23 08:08:32"
"5e9c90","LEemVewWMPAqsm3Vo3Am1z","LEARNER","2017-03-16 14:15:17"
"7dd7c1b","LEemVewWMPAqsm3Vo3Am1z","LEARNER","2016-06-28 08:37:19"
"5b59b2e4","LEemVewWMPAqsm3Vo3Am1z","NOT_ENROLLED","2015-12-25 01:48:29"
"e06b57c1","LEemVewWMPAqsm3Vo3Am1z","LEARNER","2017-09-12 21:17:20"
"44ab2eda","LEemVewWMPAqsm3Vo3Am1z","NOT_ENROLLED","2016-08-10 01:06:14"
"9e4caed","LEemVewWMPAqsm3Vo3Am1z","LEARNER","2016-02-27 18:56:15"
"f28b23b1","LEemVewWMPAqsm3Vo3Am1z","PRE_ENROLLED_LEARNER","2016-06-12 11:51:15"
"dddddaaf","LEemVewWMPAqsm3Vo3Am1z","LEARNER","2016-10-02 03:45:51"
"ddcdca53","LEemVewWMPAqsm3Vo3Am1z","LEARNER","2016-01-26 03:45:58"
"115518fe","LEemVewWMPAqsm3Vo3Am1z","BROWSER","2016-08-28 01:17:28"
"756805f5","LEemVewWMPAqsm3Vo3Am1z","NOT_ENROLLED","2016-01-04 21:49:25"
"5dbd2979","LEemVewWMPAqsm3Vo3Am1z","NOT_ENROLLED","2016-08-01 03:16:38"
"7db5a3e7","LEemVewWMPAqsm3Vo3Am1z","LEARNER","2016-05-24 11:48:45"
"6472603b","LEemVewWMPAqsm3Vo3Am1z","LEARNER","2017-02-14 00:57:23"
"ea7e59f9","LEemVewWMPAqsm3Vo3Am1z","NOT_ENROLLED","2016-01-10 04:18:34"
"9cd4f2a4","LEemVewWMPAqsm3Vo3Am1z","LEARNER","2016-07-15 15:14:09"
"cad2f456","LEemVewWMPAqsm3Vo3Am1z","LEARNER","2017-06-20 04:20:48"
"a84756da","LEemVewWMPAqsm3Vo3Am1z","LEARNER","2016-03-27 22:04:38"
"8438d74f","LEemVewWMPAqsm3Vo3Am1z","NOT_ENROLLED","2016-02-04 18:00:40"
"c3f1f753","LEemVewWMPAqsm3Vo3Am1z","LEARNER","2017-04-08 08:40:45"
"fa9425ce","LEemVewWMPAqsm3Vo3Am1z","LEARNER","2016-06-04 18:05:20"
"8b624e68","LEemVewWMPAqsm3Vo3Am1z","LEARNER","2016-07-29 22:43:07"
"3503df3b","LEemVewWMPAqsm3Vo3Am1z","LEARNER","2017-09-23 13:36:48"
"a344d5e7","LEemVewWMPAqsm3Vo3Am1z","NOT_ENROLLED","2016-04-11 15:31:36"
"747c26e6","LEemVewWMPAqsm3Vo3Am1z","LEARNER","2017-01-30 08:47:57"
"150806de","LEemVewWMPAqsm3Vo3Am1z","LEARNER","2016-02-11 00:35:45"
"d52bd851","LEemVewWMPAqsm3Vo3Am1z","LEARNER","2016-07-25 18:42:58"
"369aa1d5","LEemVewWMPAqsm3Vo3Am1z","LEARNER","2016-06-01 09:55:12"
"13d8a86d","LEemVewWMPAqsm3Vo3Am1z","LEARNER","2017-02-02 16:09:38"
"8b4d5d0a","LEemVewWMPAqsm3Vo3Am1z","LEARNER","2017-07-19 09:37:55"
"db285be7","LEemVewWMPAqsm3Vo3Am1z","LEARNER","2017-02-26 23:25:01"
"ac88719f","LEemVewWMPAqsm3Vo3Am1z","LEARNER","2016-01-04 21:50:57"
"f27f9124","LEemVewWMPAqsm3Vo3Am1z","LEARNER","2017-05-18 03:31:47"
"4c7da45d","LEemVewWMPAqsm3Vo3Am1z","BROWSER","2015-12-26 21:27:24"
"c42972db","LEemVewWMPAqsm3Vo3Am1z","LEARNER","2017-06-15 02:11:58"
"7bdc0baf","LEemVewWMPAqsm3Vo3Am1z","LEARNER","2017-03-25 04:29:19"
"10646e61","LEemVewWMPAqsm3Vo3Am1z","NOT_ENROLLED","2017-04-28 15:56:26"
"710bafbc","LEemVewWMPAqsm3Vo3Am1z","LEARNER","2017-08-21 07:58:17"
"ba83a738","LEemVewWMPAqsm3Vo3Am1z","LEARNER","2016-03-24 05:04:12"
"8287e639","LEemVewWMPAqsm3Vo3Am1z","LEARNER","2016-04-19 11:30:49"
"d3dc99b3","LEemVewWMPAqsm3Vo3Am1z","LEARNER","2016-06-20 17:03:31"
"c69923c3","LEemVewWMPAqsm3Vo3Am1z","LEARNER","2016-02-08 02:57:09"
"4c2ddc6e","LEemVewWMPAqsm3Vo3Am1z","LEARNER","2016-06-07 06:09:28"
"d52cee81","LEemVewWMPAqsm3Vo3Am1z","LEARNER","2016-02-29 10:15:54"
"e0e5d6dd","LEemVewWMPAqsm3Vo3Am1z","NOT_ENROLLED","2017-02-28 13:33:06"
"d936daa9","LEemVewWMPAqsm3Vo3Am1z","LEARNER","2015-12-22 19:31:40"
"741c911b","LEemVewWMPAqsm3Vo3Am1z","LEARNER","2016-09-29 06:43:22"
"443f3430","LEemVewWMPAqsm3Vo3Am1z","LEARNER","2016-02-21 16:22:01"
"cc039a94","LEemVewWMPAqsm3Vo3Am1z","LEARNER","2017-01-01 05:46:32"
"22717507","LEemVewWMPAqsm3Vo3Am1z","LEARNER","2016-01-04 02:28:43"
"9b7efcf0","LEemVewWMPAqsm3Vo3Am1z","LEARNER","2017-05-16 20:54:56"
"67de7b3c","LEemVewWMPAqsm3Vo3Am1z","LEARNER","2016-02-09 20:45:04"
"496c6f60","LEemVewWMPAqsm3Vo3Am1z","PRE_ENROLLED_LEARNER","2017-04-01 09:17:17"
"3a64ce20","LEemVewWMPAqsm3Vo3Am1z","LEARNER","2016-06-23 14:41:20"
"14c681fa","LEemVewWMPAqsm3Vo3Am1z","NOT_ENROLLED","2016-02-10 23:42:18"
"4d156d23","LEemVewWMPAqsm3Vo3Am1z","LEARNER","2016-06-14 17:10:55"
"6e2b862c","LEemVewWMPAqsm3Vo3Am1z","NOT_ENROLLED","2016-03-22 05:21:51"
"eef87b49","LEemVewWMPAqsm3Vo3Am1z","NOT_ENROLLED","2016-01-05 04:25:35"
"75ecd2ce","LEemVewWMPAqsm3Vo3Am1z","LEARNER","2017-09-30 19:06:37"
"1f86de46","LEemVewWMPAqsm3Vo3Am1z","LEARNER","2016-02-10 23:30:55"
"d4939c21","LEemVewWMPAqsm3Vo3Am1z","LEARNER","2016-05-17 12:56:12"
"b85757e0","LEemVewWMPAqsm3Vo3Am1z","LEARNER","2017-01-21 03:49:50"
"473bcdef","LEemVewWMPAqsm3Vo3Am1z","LEARNER","2015-12-25 08:18:55"
"691a9beb","LEemVewWMPAqsm3Vo3Am1z","LEARNER","2016-09-28 17:25:08"
"44f19ec4","LEemVewWMPAqsm3Vo3Am1z","LEARNER","2017-02-19 02:28:22"
"22c1f71e","LEemVewWMPAqsm3Vo3Am1z","LEARNER","2016-02-29 20:07:59"
