"jhu_user_id","course_id","discussion_answer_id","discussion_answer_vote_value","discussion_answer_vote_ts"
"a66b4e1d","LEemVewWMPAqsm3Vo3Am1z","4106e1e8","1","2017-03-19 12:20:00"
"7c7a7a33","LEemVewWMPAqsm3Vo3Am1z","a15ad942","1","2017-04-25 11:52:22"
"75083179","LEemVewWMPAqsm3Vo3Am1z","14fbc16a","1","2016-02-08 18:51:03"
"e75c056d","LEemVewWMPAqsm3Vo3Am1z","239a7599","1","2016-07-29 01:02:56"
"e679e02c","LEemVewWMPAqsm3Vo3Am1z","5386e41a","1","2016-01-07 04:42:04"
"60fc563e","LEemVewWMPAqsm3Vo3Am1z","294c67a5","1","2016-02-01 19:02:10"
"86b7a889","LEemVewWMPAqsm3Vo3Am1z","6215bd54","1","2016-10-23 12:41:57"
"7037370a","LEemVewWMPAqsm3Vo3Am1z","633167b3","1","2016-11-16 02:32:40"
"75083179","LEemVewWMPAqsm3Vo3Am1z","582ceb71","1","2016-07-07 07:58:05"
"ac9c5cda","LEemVewWMPAqsm3Vo3Am1z","c6509e97","1","2016-01-22 01:20:18"
"2baf261c","LEemVewWMPAqsm3Vo3Am1z","8b113be8","1","2017-08-24 19:00:32"
"cc29081f","LEemVewWMPAqsm3Vo3Am1z","fa763fac","1","2016-03-01 04:00:57"
"5c5f1b1f","LEemVewWMPAqsm3Vo3Am1z","3ee094a3","1","2016-05-23 07:56:45"
"60f61b9f","LEemVewWMPAqsm3Vo3Am1z","b05f6d40","1","2017-01-24 21:45:02"
"d6cd76b","LEemVewWMPAqsm3Vo3Am1z","15e0d01f","1","2016-02-26 18:58:43"
"72006d09","LEemVewWMPAqsm3Vo3Am1z","7caca76e","1","2016-04-15 14:47:57"
"72006d09","LEemVewWMPAqsm3Vo3Am1z","d266ee98","1","2016-02-28 06:52:38"
"18584932","LEemVewWMPAqsm3Vo3Am1z","8e8e5a81","1","2016-02-19 23:40:14"
"f753f34d","LEemVewWMPAqsm3Vo3Am1z","e1a0912","1","2017-09-24 17:42:37"
"d6481e03","LEemVewWMPAqsm3Vo3Am1z","8a30b3a2","1","2016-03-01 23:59:08"
"77e535b5","LEemVewWMPAqsm3Vo3Am1z","62cefbb0","0","2017-04-20 10:13:00"
"7ac90ca7","LEemVewWMPAqsm3Vo3Am1z","8a9560a3","1","2016-03-03 09:02:33"
"9ba8af17","LEemVewWMPAqsm3Vo3Am1z","eaaa82a1","1","2016-07-17 20:33:04"
"7ac90ca7","LEemVewWMPAqsm3Vo3Am1z","4241558b","1","2017-05-10 18:35:40"
"dc80aa56","LEemVewWMPAqsm3Vo3Am1z","5a423721","1","2016-01-16 00:36:15"
"a1ccd399","LEemVewWMPAqsm3Vo3Am1z","e7cf550","1","2016-10-18 14:21:39"
"f2ae03e","LEemVewWMPAqsm3Vo3Am1z","f779ed0c","1","2016-01-15 03:44:50"
"7a2c8ade","LEemVewWMPAqsm3Vo3Am1z","3b3118b","1","2016-01-10 21:11:43"
"7594113f","LEemVewWMPAqsm3Vo3Am1z","239a7599","1","2016-06-05 01:34:17"
"3bdfc0e9","LEemVewWMPAqsm3Vo3Am1z","108acc5e","1","2016-03-01 01:45:38"
"7f511328","LEemVewWMPAqsm3Vo3Am1z","ac99eb50","1","2016-01-19 19:21:17"
"8132a399","LEemVewWMPAqsm3Vo3Am1z","1a73a90","1","2017-08-05 00:53:05"
"26d936d4","LEemVewWMPAqsm3Vo3Am1z","69fee00d","1","2016-06-24 22:21:19"
"25b4052a","LEemVewWMPAqsm3Vo3Am1z","77c8e62a","1","2016-09-04 08:49:43"
"fca2e29c","LEemVewWMPAqsm3Vo3Am1z","9e45da3e","1","2016-10-14 19:53:10"
"7330378d","LEemVewWMPAqsm3Vo3Am1z","adf0e3fc","1","2016-03-02 08:25:46"
"854947d9","LEemVewWMPAqsm3Vo3Am1z","3b38d98a","1","2016-01-20 01:06:08"
"f2ae03e","LEemVewWMPAqsm3Vo3Am1z","2441b99e","1","2017-01-24 21:42:46"
"f2efcd6c","LEemVewWMPAqsm3Vo3Am1z","6672416e","1","2016-01-15 04:16:59"
"99f36b5c","LEemVewWMPAqsm3Vo3Am1z","f5739266","1","2017-07-21 15:45:43"
"5d676ebc","LEemVewWMPAqsm3Vo3Am1z","91ab4275","1","2016-02-14 10:23:22"
"1c1ed85e","LEemVewWMPAqsm3Vo3Am1z","d1c31b9c","1","2016-09-12 00:49:16"
"d6eb7386","LEemVewWMPAqsm3Vo3Am1z","b146c3a7","1","2016-02-02 05:54:36"
"cd4dcd45","LEemVewWMPAqsm3Vo3Am1z","a39236cf","1","2016-02-24 07:30:42"
"b833eb30","LEemVewWMPAqsm3Vo3Am1z","ffac7db9","1","2016-01-15 03:46:53"
"f132fdf1","LEemVewWMPAqsm3Vo3Am1z","b78a2869","1","2016-01-23 23:03:45"
"fde6b76f","LEemVewWMPAqsm3Vo3Am1z","e0050fef","1","2017-08-31 14:01:13"
"838d0fbf","LEemVewWMPAqsm3Vo3Am1z","99eef632","1","2016-03-01 21:52:08"
"ac9c5cda","LEemVewWMPAqsm3Vo3Am1z","848f8443","1","2016-01-11 13:17:45"
"f753f34d","LEemVewWMPAqsm3Vo3Am1z","c5a5214c","1","2016-03-01 03:42:07"
"9ba8af17","LEemVewWMPAqsm3Vo3Am1z","b6676482","1","2016-01-09 16:04:14"
"3e9ddd93","LEemVewWMPAqsm3Vo3Am1z","9e8bc832","1","2016-04-25 17:13:19"
"72006d09","LEemVewWMPAqsm3Vo3Am1z","12de0e43","1","2016-01-24 03:38:29"
"61031e34","LEemVewWMPAqsm3Vo3Am1z","549a57eb","1","2016-07-27 07:37:54"
"bedb98d7","LEemVewWMPAqsm3Vo3Am1z","ebbebd1e","1","2016-01-28 21:27:31"
"a0a64bd7","LEemVewWMPAqsm3Vo3Am1z","9154ec60","1","2016-03-05 08:22:43"
"72006d09","LEemVewWMPAqsm3Vo3Am1z","6cce5eb5","1","2016-01-29 18:13:02"
"a66b4e1d","LEemVewWMPAqsm3Vo3Am1z","7378dc0b","1","2017-07-02 22:00:47"
"f753f34d","LEemVewWMPAqsm3Vo3Am1z","a0985af6","1","2016-02-29 00:30:57"
"ac9c5cda","LEemVewWMPAqsm3Vo3Am1z","4241558b","1","2016-01-19 02:53:10"
"1c1ed85e","LEemVewWMPAqsm3Vo3Am1z","734fa73a","1","2016-02-22 12:55:17"
