"discussion_forum_id","course_branch_id","discussion_course_forum_title","discussion_course_forum_description","discussion_course_forum_order"
"3473fbca","5e4i8Kvw","Some title","Some description","1"
"f7898dd3","5e4i8Kvw","Some title","Some description","1"
"14daeedf","5e4i8Kvw","Some title","Some description","1"
"be682b47","qsmzmVew","Some title","Some description","4"
"9db37d35","5e4i8Kvw","Some title","Some description","1"
"4d3a7ec7","qsmzmVew","Some title","Some description","1"
"4331aaeb","qsmzmVew","Some title","Some description","2"
"f08a8983","qsmzmVew","Some title","Some description","2"
"85db70db","qsmzmVew","Some title","Some description","2"
"db9c8892","qsmzmVew","Some title","Some description","3"
"f3a86f33","5e4i8Kvw","Some title","Some description","1"
"641ddc49","5e4i8Kvw","Some title","Some description","1"
"6ba97cc6","qsmzmVew","Some title","Some description","2"
"3fd3d681","qsmzmVew","Some title","Some description","4"
"b746112b","5e4i8Kvw","Some title","Some description","3"
"11ad5143","5e4i8Kvw","Some title","Some description","1"
"72dfaed2","5e4i8Kvw","Some title","Some description","1"
"a35556","5e4i8Kvw","Some title","Some description","1"
