"peer_assignment_id","peer_assignment_review_schema_part_id","peer_assignment_review_schema_part_option_id","peer_review_id"
"Ha0UDw@3","3","Yes","a847e80f"
"S9qjoQ@8","222","5552","1e8742ee"
"Ha0UDw@3","5","81","27a9b060"
"S9qjoQ@8","8","Yes","7ebec6c1"
"S9qjoQ@8","K20zeiocLDtwL8nRc2Y5aN","22","10929313"
"Ha0UDw@3","7","62","b66caf1c"
"S9qjoQ@8","333","5552","10d8ac28"
"S9qjoQ@8","6","52","8d55a1cb"
"S9qjoQ@8","8","Yes","d0946e57"
"S9qjoQ@8","7","52","8a34fea3"
"Ha0UDw@3","3","82","af0567b8"
"Ha0UDw@3","222","Yes","317caffd"
"S9qjoQ@8","111","No","b2d7d7cc"
"P1p1aQ@3","444","5552","1753866d"
"P1p1aQ@3","5","Yes","f112b6cc"
"1uEo4w@4","2","7772","d596fec9"
"Ha0UDw@3","3","82","d4d2935"
"S9qjoQ@8","222","22","d230716a"
"S9qjoQ@8","444","72","22c2ffde"
"1uEo4w@4","333","7772","703859fb"
"Ha0UDw@3","2","52","9e27d9bf"
"S9qjoQ@8","SijUusI4nbSiZtldrHhtkX","6662","ca89fc72"
"S9qjoQ@8","6","6662","6a1eccc8"
"Ha0UDw@3","8","32","b0182849"
"S9qjoQ@8","555","7772","1971b7a0"
"S9qjoQ@8","7","62","fca1f944"
"Ha0UDw@3","666","Yes","13eb9913"
"S9qjoQ@8","222","7772","74a2179e"
"P1p1aQ@3","3","Yes","a063a658"
"Ha0UDw@3","5","22","232fdeca"
"Ha0UDw@3","444","7771","a3dec771"
"Ha0UDw@3","3","81","84df52fa"
"S9qjoQ@8","333","Yes","1c7f9b9"
"S9qjoQ@8","3","Yes","9251bd56"
"S9qjoQ@8","444","82","78d6c27c"
"S9qjoQ@8","6","62","444aac42"
"Ha0UDw@3","444","72","15646ea4"
"S9qjoQ@8","8","Yes","946c0530"
"S9qjoQ@8","4","72","182f2150"
"Ha0UDw@3","5","Yes","8240705a"
"S9qjoQ@8","4","42","4fdb920"
"S9qjoQ@8","333","5552","78e98b40"
"Ha0UDw@3","222","7772","893922e5"
"Ha0UDw@3","2","82","4b06a34e"
"Ha0UDw@3","6JIYOGvVU2lA16kFeSbivH","Yes","a36c6a96"
"S9qjoQ@8","333","32","a2f1ae9"
"Ha0UDw@3","777","Yes","4e99e13e"
"S9qjoQ@8","666","6662","a3a71bf8"
"S9qjoQ@8","SijUusI4nbSiZtldrHhtkX","Yes","f7da84c7"
"1uEo4w@4","111","7772","ba1b4376"
"Ha0UDw@3","222","62","402c449d"
"S9qjoQ@8","2","Yes","c9d578b7"
"S9qjoQ@8","SijUusI4nbSiZtldrHhtkX","7772","81bce87b"
"S9qjoQ@8","2","42","a6c4e3f8"
"S9qjoQ@8","444","Yes","5f50b23e"
"Ha0UDw@3","111","32","5b64d69e"
"S9qjoQ@8","3","No","516c2042"
"S9qjoQ@8","333","Yes","9ba54c6a"
"S9qjoQ@8","111","52","2f8f64d7"
"S9qjoQ@8","666","22","93118d0f"
"Ha0UDw@3","111","Yes","28b65b8e"
"S9qjoQ@8","444","Yes","b9f1255e"
"Ha0UDw@3","8","42","24224737"
"Ha0UDw@3","444","5552","1365c674"
"S9qjoQ@8","111","6662","e469ecbb"
"Ha0UDw@3","111","42","6eca5473"
"S9qjoQ@8","777","72","e1a72f8a"
"1uEo4w@4","3","81","3340418f"
"S9qjoQ@8","111","Yes","8d8da825"
"S9qjoQ@8","2","6662","59c5926b"
"S9qjoQ@8","8","Yes","618eea85"
"Ha0UDw@3","5","6662","811a5338"
"S9qjoQ@8","222","Yes","18f8178b"
"Ha0UDw@3","111","72","ba236473"
"S9qjoQ@8","333","52","69afab1f"
"Ha0UDw@3","666","62","db0f6d30"
"S9qjoQ@8","6","42","5b348bb0"
"P1p1aQ@3","111","82","37e87c"
"S9qjoQ@8","2","6661","c4ea8d94"
