"jhu_user_id","user_join_ts","country_cd","region_cd","profile_language_cd","browser_language_cd","reported_or_inferred_gender","employment_status","educational_attainment","student_status"
"e90763b3","2014-11-22 17:36:34","FI","ARE","es-ES","zh-Ha","female",NA,NA,NA
"1d475ef0","2013-10-08 16:58:23","BR","WA","en-US","en","male",NA,NA,NA
"da589f36","2014-11-04 01:37:34","GB","HR","en-US","ru-RU","male",NA,NA,NA
"fad792f4","2017-02-24 11:35:59","AE","NH","en-GB","en-us","male",NA,NA,NA
"f205889f","2017-02-12 12:04:27","DE","IL","en-US","zh-CN","male",NA,NA,NA
"2adb3ad2","2014-02-10 11:45:03","US","MD","en-US","en-US",NA,NA,NA,NA
"14cd8604","2012-02-20 22:40:59","US","TX","en-US","en-US","female",NA,NA,NA
"d1b5a3d5","2012-11-19 10:40:53","IN","DL",NA,"en-US","female",NA,NA,NA
"2a686e0a","2012-09-17 12:59:11","DE","TXG",NA,"en-GB","female",NA,NA,NA
"71ed8567","2014-07-22 16:31:21","IN","NY","ko-KR","en-US","male",NA,NA,NA
"2bac97b2","2015-12-07 10:08:25","US","CA","en-US","zh-CN","male",NA,NA,NA
"4a743c74","2014-04-28 14:35:27","SK","UP","en-US","en-US","male",NA,NA,NA
"2b8f07e5","2016-03-09 18:56:30","US","VIC","en-US","en-US","female",NA,NA,NA
"4b083db1","2016-06-12 18:22:22","US","CA","en-US","en-US","male","EMPLOYED_FULL_TIME",NA,NA
"1f470550","2015-10-14 08:33:35","US","MI","en-US","en-US","female",NA,NA,NA
"21bc7ee0","2015-12-12 22:25:46","US","ME",NA,"ko-KR","male",NA,NA,NA
"24f43172","2013-04-04 01:33:45","RU","1",NA,"en-US",NA,NA,NA,NA
"f90f1484","2012-07-19 13:30:33","CH","A",NA,"en-US",NA,NA,NA,NA
"9b14928e","2015-08-27 14:42:41","ID","MOS","en-US","en-GB",NA,NA,NA,NA
"e07952d5","2013-10-14 07:15:12","IN","VA","en-US","en-GB","male","SELF_EMPLOYED_FULL_TIME",NA,NA
"52ddf200","2014-04-18 10:22:50","CA",NA,"en-US","en-IN",NA,NA,NA,NA
"c423ee2","2015-05-27 12:13:50","US","HR","pt-BR","en-US","male",NA,NA,"FULL_TIME_DEGREE_STUDENT"
"725a3a8d","2015-01-05 16:09:10","IN","78","en-US","en-US","male",NA,NA,NA
"4cfd280a","2015-06-14 08:35:27","US","UT","en-US","en-US",NA,NA,NA,NA
"67feb8f7","2014-06-02 09:51:34","ES","CA","en-GB","en-US","male",NA,NA,NA
"8efa4749","2012-11-28 00:16:30","IN","L","en-US","en-US","male",NA,NA,"NOT_DEGREE_STUDENT"
"ca8696f4","2014-04-12 16:41:08","CA","11","en-US","en-US","female",NA,NA,NA
"cde473dd","2013-03-06 11:59:40","PL","RJ","en-US","en-US","male",NA,NA,NA
"6bf17ba1","2012-07-14 16:11:26","GB","ON","en-US","en-US","male",NA,NA,NA
"f34873f5","2015-12-30 19:37:59","FI","KA",NA,"fr-FR","male",NA,NA,NA
"ec5cd16d","2014-02-07 19:38:52","RU","CO",NA,"en-IN","female",NA,NA,NA
"62331455","2013-04-13 10:18:21","US","IDF","en-US","he-IL",NA,NA,NA,NA
"8f03cc2f","2013-03-12 07:16:57","NG","TX","en-US","ru-RU","male",NA,NA,NA
"b97ffeeb","2013-08-12 04:18:09","IN","BW",NA,"en-US","male",NA,NA,NA
"4de0e477","2016-07-20 14:45:19","US","10","en-US","tr-TR","male",NA,NA,NA
"fdfa0657","2014-06-25 07:10:46","CN","FL","en-US","es","male",NA,NA,NA
"e29d6de9","2015-10-02 04:09:22","US","33",NA,"en-US","male",NA,NA,NA
"9fa9169","2015-10-16 07:20:28","FR","MA",NA,"en-US","female",NA,NA,NA
"ec48bfd2","2014-01-21 07:14:51","DE","MZ",NA,"en-US","male",NA,"BACHELOR_DEGREE",NA
"c89bc428","2016-01-04 17:43:41","GB","TX","en-US","en-GB","male",NA,NA,NA
"3ded234e","2014-05-01 09:15:10","CN","CA","ru-RU","el-GR","male",NA,NA,NA
"d4c02dc9","2012-12-10 21:37:20","US","AN",NA,"en-US","male",NA,NA,NA
"f02b1b40","2015-02-20 13:46:36","IN",NA,NA,"en-GB","male",NA,NA,NA
"b0b485a8","2015-08-05 12:58:08","EG","52",NA,"en-US","male",NA,NA,NA
"3c7f15c7","2017-01-08 16:42:57","TW","NY","en-US","en-CA","male",NA,NA,NA
"bb0f884b","2014-03-28 05:20:25","TW","11",NA,"cs-CZ","male",NA,NA,NA
"f00b2c86","2013-07-08 10:11:36","US","MEX","de-DE","en-AU",NA,NA,NA,NA
"a9381549","2012-03-07 04:18:32","FR","88","en-US","en-US","male",NA,NA,NA
"73a81d9","2012-07-24 13:07:05","CN","MA",NA,"en-US","male",NA,NA,NA
"75d001e3","2013-07-12 20:12:14","IN","JAL","en-US","en-US",NA,NA,NA,NA
"d84c6a31","2013-10-18 23:13:44","IN","MD",NA,"en-us","female",NA,NA,NA
"2e6f380b","2012-09-16 12:43:10","US",NA,NA,"en-US","male",NA,NA,NA
"5d6400d4","2015-07-29 18:48:51","US","SD",NA,"en-US","male",NA,NA,NA
"4743ded3","2013-06-13 06:17:50","US","DL",NA,"en","male",NA,NA,NA
